id,name,lickWindowDuration,toneDuration,betweenToneDuration,delayDuration,minDivergence,maxDivergence,punishmentDuration,punishmentLight,punishmentAir,dropSize,encourageRandom,encourageWrong,songsPerBlock,licksPerDecision,alternateBlock,coinFlipBlock,templateSong,dateSubmitted,songVolume
1,practiceParametersSet,9.0,0.3,0.5,3.0,0,1,0.0,0.0,0.0,1,1,1,1,1,1,1,C8     ,2020-01-13 23:28:45,0
2,hge,2.0,0.3,0.5,3.0,0,1,0.0,0.0,0.0,5,1,1,3,1,1,1,C9     ,2020-02-11 10:38:56,50
